__time,__datetime,__type,/hamster2/velocity/data
1677685709.4605253,2023-03-01 16:48:29.460525,std_msgs/Float32,0.0
1677685709.4648135,2023-03-01 16:48:29.464813,std_msgs/Float32,0.0
1677685709.4824219,2023-03-01 16:48:29.482422,std_msgs/Float32,0.0
1677685709.5040936,2023-03-01 16:48:29.504094,std_msgs/Float32,0.0
1677685709.5255003,2023-03-01 16:48:29.525500,std_msgs/Float32,0.0
1677685709.5461392,2023-03-01 16:48:29.546139,std_msgs/Float32,0.0
1677685709.5680199,2023-03-01 16:48:29.568020,std_msgs/Float32,0.0
1677685709.5892177,2023-03-01 16:48:29.589218,std_msgs/Float32,0.0
1677685709.6108057,2023-03-01 16:48:29.610806,std_msgs/Float32,0.0
1677685709.6317892,2023-03-01 16:48:29.631789,std_msgs/Float32,0.0
1677685709.6535766,2023-03-01 16:48:29.653577,std_msgs/Float32,0.0
1677685709.6742845,2023-03-01 16:48:29.674284,std_msgs/Float32,0.0
1677685709.6951277,2023-03-01 16:48:29.695128,std_msgs/Float32,0.0
1677685709.7168863,2023-03-01 16:48:29.716886,std_msgs/Float32,0.0
1677685709.7387283,2023-03-01 16:48:29.738728,std_msgs/Float32,0.0
1677685709.7595768,2023-03-01 16:48:29.759577,std_msgs/Float32,0.0
1677685709.7812622,2023-03-01 16:48:29.781262,std_msgs/Float32,0.0
1677685709.801616,2023-03-01 16:48:29.801616,std_msgs/Float32,0.0
1677685709.823861,2023-03-01 16:48:29.823861,std_msgs/Float32,0.0
1677685709.8448381,2023-03-01 16:48:29.844838,std_msgs/Float32,0.0
1677685709.8662603,2023-03-01 16:48:29.866260,std_msgs/Float32,0.0
1677685709.8876648,2023-03-01 16:48:29.887665,std_msgs/Float32,0.0
1677685709.9095407,2023-03-01 16:48:29.909541,std_msgs/Float32,0.0
1677685709.929579,2023-03-01 16:48:29.929579,std_msgs/Float32,0.0
1677685709.9509811,2023-03-01 16:48:29.950981,std_msgs/Float32,0.0
1677685709.9726312,2023-03-01 16:48:29.972631,std_msgs/Float32,0.0
1677685709.994431,2023-03-01 16:48:29.994431,std_msgs/Float32,0.0
1677685710.015538,2023-03-01 16:48:30.015538,std_msgs/Float32,0.0
1677685710.0370622,2023-03-01 16:48:30.037062,std_msgs/Float32,0.0
1677685710.066255,2023-03-01 16:48:30.066255,std_msgs/Float32,0.0
1677685710.083686,2023-03-01 16:48:30.083686,std_msgs/Float32,0.0
1677685710.101746,2023-03-01 16:48:30.101746,std_msgs/Float32,0.0
1677685710.1220503,2023-03-01 16:48:30.122050,std_msgs/Float32,0.0
1677685710.1502407,2023-03-01 16:48:30.150241,std_msgs/Float32,0.0
