__time,__datetime,__type,/tf/transforms.0.header.stamp,/tf/transforms.0.header.frame_id,/tf/transforms.0.child_frame_id,/tf/transforms.0.transform.translation.x,/tf/transforms.0.transform.translation.y,/tf/transforms.0.transform.translation.z,/tf/transforms.0.transform.rotation.x,/tf/transforms.0.transform.rotation.y,/tf/transforms.0.transform.rotation.z,/tf/transforms.0.transform.rotation.w
1677685726.0333526,2023-03-01 16:48:46.033353,tf2_msgs/TFMessage,1682356765.3213763,world,hamster2/base_link,2.5571107864379883,-1.1627819538116455,0.15308250486850739,-0.0013536281185224652,-0.004553333390504122,0.6823330521583557,0.7310260534286499
1677685726.1205623,2023-03-01 16:48:46.120562,tf2_msgs/TFMessage,1682356765.4298337,world,hamster2/base_link,2.5475594997406006,-1.0828765630722046,0.15341554582118988,-0.003979476634413004,-0.009118334390223026,0.7223756909370422,0.6914291977882385
1677685726.1865335,2023-03-01 16:48:46.186533,tf2_msgs/TFMessage,1682356765.496289,world,hamster2/base_link,2.5360147953033447,-1.034042477607727,0.15332214534282684,-0.003363173920661211,-0.0063777705654501915,0.7507498860359192,0.6605473160743713
1677685726.1953654,2023-03-01 16:48:46.195365,tf2_msgs/TFMessage,1682356765.5044248,world,hamster2/base_link,2.5342535972595215,-1.0281710624694824,0.15351584553718567,-0.002527429722249508,-0.006674593780189753,0.7547590732574463,0.6559633612632751
1677685726.3212297,2023-03-01 16:48:46.321230,tf2_msgs/TFMessage,1682356765.6383991,world,hamster2/base_link,2.50038743019104,-0.9420357346534729,0.1541508138179779,0.0042797839269042015,-0.00510330218821764,0.808627724647522,0.5882829427719116
1677685726.3238437,2023-03-01 16:48:46.323844,tf2_msgs/TFMessage,1682356765.6391833,world,hamster2/base_link,2.497528314590454,-0.9366855025291443,0.1542685627937317,0.005684252828359604,-0.005510991904884577,0.811956524848938,0.5836642384529114
1677685726.3253465,2023-03-01 16:48:46.325346,tf2_msgs/TFMessage,1682356765.6464334,world,hamster2/base_link,2.4944007396698,-0.9313879609107971,0.15448571741580963,0.005256588105112314,-0.006541500333696604,0.8151391744613647,0.579204261302948
1677685726.4005795,2023-03-01 16:48:46.400579,tf2_msgs/TFMessage,1682356765.663137,world,hamster2/base_link,2.4876904487609863,-0.920803427696228,0.15483032166957855,0.003008531639352441,-0.008328260853886604,0.8215304017066956,0.5700960755348206
1677685726.430399,2023-03-01 16:48:46.430399,tf2_msgs/TFMessage,1682356765.73819,world,hamster2/base_link,2.456165075302124,-0.8729922771453857,0.1546475738286972,-0.000886084046214819,-0.010570121929049492,0.8487238883972168,0.5287297964096069
1677685726.4306755,2023-03-01 16:48:46.430676,tf2_msgs/TFMessage,1682356765.7468665,world,hamster2/base_link,2.452436923980713,-0.8678426146507263,0.15476201474666595,-0.00044642380089499056,-0.011141936294734478,0.8517547249794006,0.5238221287727356
1677685726.4756997,2023-03-01 16:48:46.475700,tf2_msgs/TFMessage,1682356765.7543116,world,hamster2/base_link,2.4485762119293213,-0.8628584742546082,0.15491077303886414,0.00022113484737928957,-0.012108806520700455,0.8549344539642334,0.5185947418212891
1677685726.4761443,2023-03-01 16:48:46.476144,tf2_msgs/TFMessage,1682356765.7630465,world,hamster2/base_link,2.444628953933716,-0.8579506278038025,0.15507890284061432,0.0008691807161085308,-0.012643802911043167,0.8581936955451965,0.5131697058677673
1677685726.5054574,2023-03-01 16:48:46.505457,tf2_msgs/TFMessage,1682356765.8041813,world,hamster2/base_link,2.4232335090637207,-0.8337023258209229,0.15500696003437042,-0.0029088526498526335,-0.01421141717582941,0.8735005855560303,0.48660707473754883
1677685726.505632,2023-03-01 16:48:46.505632,tf2_msgs/TFMessage,1682356765.8141901,world,hamster2/base_link,2.419055461883545,-0.8290151357650757,0.1551022082567215,-0.0026003681123256683,-0.014467649161815643,0.8761784434318542,0.48176276683807373
1677685726.5795367,2023-03-01 16:48:46.579537,tf2_msgs/TFMessage,1682356765.8631463,world,hamster2/base_link,2.3938469886779785,-0.8004330992698669,0.1551900953054428,0.0012099675368517637,-0.008995604701340199,0.8933641314506531,0.44924190640449524
1677685726.5808034,2023-03-01 16:48:46.580803,tf2_msgs/TFMessage,1682356765.8712633,world,hamster2/base_link,2.389443874359131,-0.7959890365600586,0.15523765981197357,0.0026315473951399326,-0.009057295508682728,0.8960132598876953,0.4439272880554199
1677685726.6125095,2023-03-01 16:48:46.612509,tf2_msgs/TFMessage,1682356765.9000916,world,hamster2/base_link,2.374892473220825,-0.7837691307067871,0.1559055596590042,0.002265333663672209,-0.012223276309669018,0.9032089114189148,0.42902112007141113
1677685726.6204453,2023-03-01 16:48:46.620445,tf2_msgs/TFMessage,1682356765.9208546,world,hamster2/base_link,2.35966420173645,-0.7716629505157471,0.15618078410625458,-0.0036243589129298925,-0.012996697798371315,0.9108070135116577,0.4126117527484894
1677685726.670367,2023-03-01 16:48:46.670367,tf2_msgs/TFMessage,1682356765.9627993,world,hamster2/base_link,2.335038185119629,-0.7514335513114929,0.1562369018793106,-0.0005845295381732285,-0.009695280343294144,0.9231529831886292,0.3843100070953369
