__time,command.header.stamp,command.steering_angle,command.speed,velocity.v,imu.header.stamp,imu.w_x,imu.w_y,imu.w_z,imu.a_x,imu.a_y,imu.a_z,tf.header.stamp,tf.x,tf.y,tf.z,tf.r_x,tf.r_y,tf.r_z,tf.r_w,tf.roll_x,tf.pitch_y,tf.yaw_z
1677685709.4603508,1677685709.3597972,9.972792625427246,1.0176804065704346,,,,,,,,,,,,,,,,,,,
1677685709.4604368,,,,,,,,,,,,1682356749.5841165,2.6689014434814453,-3.346753597259521,0.1374974697828292,0.0050261579453945,0.0010244123404845,0.0382256172597408,-0.9992559552192688,-0.009966713400075638,-0.0024315586395623518,-0.07645875326462885
1677685709.4604588,,,,,1677685709.4325433,-0.0069813169538974,0.0017453292384743,0.0,0.0588398985564708,-9.698776245117188,0.5197524428367615,,,,,,,,,,,
1677685709.4605253,,,,0.0,,,,,,,,,,,,,,,,,,
1677685709.460896,1677685709.378926,9.972881317138672,1.0176804065704346,,,,,,,,,,,,,,,,,,,
1677685709.4609754,,,,,,,,,,,,1682356749.5844245,2.668912172317505,-3.346766948699951,0.137522354722023,0.005043476819992,0.0009755259961821,0.0382171794772148,-0.9992562532424928,-0.01000508199361903,-0.0023350979434994317,-0.07644230501057418
1677685709.460994,,,,,1677685709.4375403,0.0,0.0,0.0017453292384743,0.0588398985564708,-9.698776245117188,0.5197524428367615,,,,,,,,,,,
1677685709.4612772,1677685709.398925,9.975045204162598,1.0176804065704346,,,,,,,,,,,,,,,,,,,
1677685709.4613512,,,,,,,,,,,,1682356749.5975237,2.6689274311065674,-3.3467812538146973,0.137542724609375,0.0050231148488819,0.0009574060095474,0.0382281206548213,-0.9992559552192688,-0.009965746447379551,-0.0022974378152814424,-0.07646442809084514
1677685709.4613712,,,,,1677685709.442539,-0.0017453292384743,0.0,0.0,0.0588398985564708,-9.698776245117188,0.5197524428367615,,,,,,,,,,,
1677685709.461652,1677685709.4199457,9.974722862243652,1.0176804065704346,,,,,,,,,,,,,,,,,,,
1677685709.461748,,,,,,,,,,,,1682356749.599398,2.668930530548096,-3.3467907905578613,0.1375568956136703,0.0049247797578573,0.0009778924286365,0.0382078029215335,-0.9992572069168092,-0.00976769893586295,-0.0023306642526750017,-0.07642379210580062
1677685709.461769,,,,,1677685709.4475365,-0.0034906584769487,0.0017453292384743,0.0,0.0588398985564708,-9.708582878112791,0.5197524428367615,,,,,,,,,,,
1677685709.4621024,1677685709.439159,9.974722862243652,1.0176804065704346,,,,,,,,,,,,,,,,,,,
1677685709.4621613,,,,,,,,,,,,1682356749.6043146,2.6689438819885254,-3.346789121627808,0.1375480443239212,0.0050290892831981,0.00092733342899,0.0382479503750801,-0.9992551803588868,-0.009979940488772258,-0.0022379920485515025,-0.07650439644094546
1677685709.4621828,,,,,1677685709.452535,-0.0034906584769487,0.0034906584769487,-0.0017453292384743,0.0588398985564708,-9.708582878112791,0.5197524428367615,,,,,,,,,,,
1677685709.464713,1677685709.4617815,9.973121643066406,1.0176804065704346,,,,,,,,,,,,,,,,,,,
1677685709.4648137,,,,0.0,,,,,,,,,,,,,,,,,,
1677685709.4657438,,,,,1677685709.457532,-0.0017453292384743,0.0017453292384743,0.0,0.0686465501785278,-9.718389511108398,0.5197524428367615,,,,,,,,,,,
1677685709.4676905,,,,,,,,,,,,1682356749.6122334,2.668938159942627,-3.3467800617218018,0.1375269740819931,0.0049827937036752,0.0009559832978993,0.0382142923772335,-0.9992567300796508,-0.00988530278245338,-0.0022913753645406763,-0.07643686104533501
