__time,/hamster2/imu/header.stamp,/hamster2/command/drive.steering_angle,/hamster2/command/drive.speed,/hamster2/imu/angular_velocity.x,/hamster2/imu/angular_velocity.y,/hamster2/imu/angular_velocity.z,/hamster2/imu/linear_acceleration.x,/hamster2/imu/linear_acceleration.y,/hamster2/imu/linear_acceleration.z
1677685709.4604588,1677685709.4325433,9.974722862,1.017680407,-0.006981317,0.001745329,0,0.058839899,-9.698776245,0.519752443
1677685709.460994,1677685709.4375403,9.974722862,1.017680407,0,0,0.001745329,0.058839899,-9.698776245,0.519752443
1677685709.4621024,1677685709.439159,9.974722862,1.017680407,-0.000872665,0,0.000872665,0.058839899,-9.698776245,0.519752443
1677685709.4613712,1677685709.442539,9.974402618,1.017680407,-0.001745329,0,0,0.058839899,-9.698776245,0.519752443
1677685709.461769,1677685709.4475365,9.974082374,1.017680407,-0.003490658,0.001745329,0,0.058839899,-9.708582878,0.519752443
1677685709.4621828,1677685709.452535,9.973762131,1.017680407,-0.003490658,0.003490658,-0.001745329,0.058839899,-9.708582878,0.519752443
1677685709.4657438,1677685709.457532,9.973441887,1.017680407,-0.001745329,0.001745329,0,0.06864655,-9.718389511,0.519752443
1677685709.464713,1677685709.4617815,9.973121643,1.017680407,-0.001745329,0.000872665,0,0.06864655,-9.718389511,0.519752443
1677685709.4699326,1677685709.4625304,9.97315979,1.017680407,-0.001745329,0,0,0.06864655,-9.718389511,0.519752443
1677685709.4733346,1677685709.4675276,9.973197937,1.017680407,0,0,0,0.06864655,-9.718389511,0.519752443
1677685709.4746218,1677685709.4725258,9.973236084,1.017680407,0,0.003490658,0,0.06864655,-9.718389511,0.519752443
1677685709.480367,1677685709.477523,9.973274231,1.017680407,-0.003490658,0.005235988,-0.001745329,0.06864655,-9.708582878,0.529559076
1677685709.4801035,1677685709.4793382,9.973312378,1.017680407,-0.001745329,0.004363323,-0.000872665,0.06864655,-9.708582878,0.529559076
1677685709.4837315,1677685709.4825215,9.974275971,1.017680407,0,0.003490658,0,0.06864655,-9.708582878,0.529559076
1677685709.489282,1677685709.4875195,9.975239563,1.017680407,0,0,0,0.06864655,-9.698776245,0.519752443
1677685709.493597,1677685709.4925172,9.976203156,1.017680407,-0.001745329,0.001745329,0,0.06864655,-9.698776245,0.519752443
