__time,__datetime,__type,/hamster2/command/header.stamp,/hamster2/command/header.frame_id,/hamster2/command/drive.steering_angle,/hamster2/command/drive.steering_angle_velocity,/hamster2/command/drive.speed,/hamster2/command/drive.acceleration,/hamster2/command/drive.jerk
1677685709.4603508,2023-03-01 16:48:29.460351,ackermann_msgs/AckermannDriveStamped,1677685709.3597972,,9.972792625427246,0.0,1.0176804065704346,0.0,0.0
1677685709.460896,2023-03-01 16:48:29.460896,ackermann_msgs/AckermannDriveStamped,1677685709.378926,,9.972881317138672,0.0,1.0176804065704346,0.0,0.0
1677685709.4612772,2023-03-01 16:48:29.461277,ackermann_msgs/AckermannDriveStamped,1677685709.398925,,9.975045204162598,0.0,1.0176804065704346,0.0,0.0
1677685709.461652,2023-03-01 16:48:29.461652,ackermann_msgs/AckermannDriveStamped,1677685709.4199455,,9.974722862243652,0.0,1.0176804065704346,0.0,0.0
1677685709.4621024,2023-03-01 16:48:29.462102,ackermann_msgs/AckermannDriveStamped,1677685709.4391587,,9.974722862243652,0.0,1.0176804065704346,0.0,0.0
1677685709.4647133,2023-03-01 16:48:29.464713,ackermann_msgs/AckermannDriveStamped,1677685709.4617815,,9.973121643066406,0.0,1.0176804065704346,0.0,0.0
1677685709.4801035,2023-03-01 16:48:29.480103,ackermann_msgs/AckermannDriveStamped,1677685709.4793382,,9.973312377929688,0.0,1.0176804065704346,0.0,0.0
1677685709.4990814,2023-03-01 16:48:29.499081,ackermann_msgs/AckermannDriveStamped,1677685709.4987097,,9.978130340576172,0.0,1.0176804065704346,0.0,0.0
1677685709.5201342,2023-03-01 16:48:29.520134,ackermann_msgs/AckermannDriveStamped,1677685709.5187275,,9.972576141357422,0.0,1.0176804065704346,0.0,0.0
1677685709.540044,2023-03-01 16:48:29.540044,ackermann_msgs/AckermannDriveStamped,1677685709.5387511,,9.978262901306152,0.0,1.0176804065704346,0.0,0.0
1677685709.5592034,2023-03-01 16:48:29.559203,ackermann_msgs/AckermannDriveStamped,1677685709.558755,,9.972192764282227,0.0,1.0176804065704346,0.0,0.0
1677685709.5794902,2023-03-01 16:48:29.579490,ackermann_msgs/AckermannDriveStamped,1677685709.5788136,,9.973465919494629,0.0,1.0176804065704346,0.0,0.0
1677685709.5997791,2023-03-01 16:48:29.599779,ackermann_msgs/AckermannDriveStamped,1677685709.598709,,9.972825050354004,0.0,1.0176804065704346,0.0,0.0
1677685709.6195438,2023-03-01 16:48:29.619544,ackermann_msgs/AckermannDriveStamped,1677685709.618706,,9.971746444702148,0.0,1.0176804065704346,0.0,0.0
1677685709.6397138,2023-03-01 16:48:29.639714,ackermann_msgs/AckermannDriveStamped,1677685709.638737,,9.978119850158691,0.0,1.0176804065704346,0.0,0.0
1677685709.6593447,2023-03-01 16:48:29.659345,ackermann_msgs/AckermannDriveStamped,1677685709.6588178,,9.976032257080078,0.0,1.0176804065704346,0.0,0.0
1677685709.6796486,2023-03-01 16:48:29.679649,ackermann_msgs/AckermannDriveStamped,1677685709.678847,,9.975292205810547,0.0,1.0176804065704346,0.0,0.0
1677685709.699571,2023-03-01 16:48:29.699571,ackermann_msgs/AckermannDriveStamped,1677685709.6987321,,9.970816612243652,0.0,1.0176804065704346,0.0,0.0
1677685709.721982,2023-03-01 16:48:29.721982,ackermann_msgs/AckermannDriveStamped,1677685709.7187498,,9.973258018493652,0.0,1.0176804065704346,0.0,0.0
1677685709.7399633,2023-03-01 16:48:29.739963,ackermann_msgs/AckermannDriveStamped,1677685709.738709,,9.97502326965332,0.0,1.0176804065704346,0.0,0.0
1677685709.759329,2023-03-01 16:48:29.759329,ackermann_msgs/AckermannDriveStamped,1677685709.7587285,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
1677685709.7794158,2023-03-01 16:48:29.779416,ackermann_msgs/AckermannDriveStamped,1677685709.7788134,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
1677685709.7999055,2023-03-01 16:48:29.799906,ackermann_msgs/AckermannDriveStamped,1677685709.7987607,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
1677685709.8194516,2023-03-01 16:48:29.819452,ackermann_msgs/AckermannDriveStamped,1677685709.8187718,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
1677685709.8393316,2023-03-01 16:48:29.839332,ackermann_msgs/AckermannDriveStamped,1677685709.8387868,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
1677685709.8593743,2023-03-01 16:48:29.859374,ackermann_msgs/AckermannDriveStamped,1677685709.8587034,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
1677685709.8795414,2023-03-01 16:48:29.879541,ackermann_msgs/AckermannDriveStamped,1677685709.8787344,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
1677685709.8997633,2023-03-01 16:48:29.899763,ackermann_msgs/AckermannDriveStamped,1677685709.8987439,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
1677685709.919625,2023-03-01 16:48:29.919625,ackermann_msgs/AckermannDriveStamped,1677685709.9187436,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
1677685709.9400601,2023-03-01 16:48:29.940060,ackermann_msgs/AckermannDriveStamped,1677685709.9387293,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
1677685709.9594202,2023-03-01 16:48:29.959420,ackermann_msgs/AckermannDriveStamped,1677685709.9587407,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
1677685709.979417,2023-03-01 16:48:29.979417,ackermann_msgs/AckermannDriveStamped,1677685709.9787333,,9.975611686706543,0.0,1.0176804065704346,0.0,0.0
